Sale_ID,Sale_Date,Bike_Model,City,Units_Sold,Revenue_INR
BS075,2025-03-17,Bajaj Pulsar,Hyderabad,1,120000
BS076,2025-03-18,Royal Enfield Classic,Hyderabad,8,1680000
BS077,2025-03-19,Honda Shine,Mumbai,1,90000
BS078,2025-03-20,Yamaha FZ,Delhi,2,270000
BS079,2025-03-21,Hero Splendor,Bengaluru,2,170000
BS080,2025-03-22,Hero Splendor,Delhi,17,1445000
BS081,2025-03-23,Bajaj Pulsar,Delhi,16,1920000
BS082,2025-03-24,Royal Enfield Classic,Pune,5,1050000
BS083,2025-03-25,Royal Enfield Classic,Chennai,19,3990000
BS084,2025-03-26,Honda Shine,Chennai,16,1440000
BS085,2025-03-27,Honda Shine,Mumbai,4,360000
BS086,2025-03-28,Yamaha FZ,Bengaluru,14,1890000
BS087,2025-03-29,TVS Apache,Chennai,14,1960000
BS088,2025-03-30,Yamaha FZ,Pune,2,270000
BS089,2025-03-31,Yamaha FZ,Mumbai,4,540000
BS090,2025-04-01,TVS Apache,Mumbai,11,1540000
BS091,2025-04-02,Honda Shine,Delhi,7,630000
BS092,2025-04-03,Royal Enfield Classic,Delhi,15,3150000
BS093,2025-04-04,TVS Apache,Bengaluru,6,840000
BS094,2025-04-05,TVS Apache,Mumbai,8,1120000
BS095,2025-04-06,TVS Apache,Mumbai,18,2520000
BS096,2025-04-07,Hero Splendor,Mumbai,18,1530000
BS097,2025-04-08,Hero Splendor,Delhi,8,680000
BS098,2025-04-09,TVS Apache,Chennai,16,2240000
BS099,2025-04-10,Honda Shine,Mumbai,13,1170000
BS100,2025-04-11,Honda Shine,Mumbai,13,1170000
BS101,2025-04-12,TVS Apache,Chennai,9,1260000
BS102,2025-04-13,Bajaj Pulsar,Pune,14,1680000
BS103,2025-04-14,Yamaha FZ,Pune,18,2430000
BS104,2025-04-15,Yamaha FZ,Delhi,16,2160000
BS105,2025-04-16,Honda Shine,Delhi,10,900000
BS106,2025-04-17,Hero Splendor,Pune,19,1615000
BS107,2025-04-18,Royal Enfield Classic,Pune,2,420000
BS108,2025-04-19,Bajaj Pulsar,Mumbai,2,240000
BS109,2025-04-20,Royal Enfield Classic,Hyderabad,16,3360000
BS110,2025-04-21,Royal Enfield Classic,Mumbai,6,1260000
BS111,2025-04-22,Royal Enfield Classic,Delhi,3,630000
BS112,2025-04-23,Hero Splendor,Mumbai,20,1700000
BS113,2025-04-24,Yamaha FZ,Chennai,8,1080000
BS114,2025-04-25,Hero Splendor,Delhi,19,1615000
BS115,2025-04-26,Royal Enfield Classic,Mumbai,20,4200000
BS116,2025-04-27,Royal Enfield Classic,Chennai,3,630000
BS117,2025-04-28,Yamaha FZ,Hyderabad,19,2565000
BS118,2025-04-29,Royal Enfield Classic,Bengaluru,11,2310000
BS119,2025-04-30,Honda Shine,Delhi,11,990000
BS120,2025-05-01,Bajaj Pulsar,Delhi,13,1560000
BS121,2025-05-02,Yamaha FZ,Chennai,10,1350000
BS122,2025-05-03,Bajaj Pulsar,Mumbai,3,360000
BS123,2025-05-04,TVS Apache,Hyderabad,20,2800000
BS124,2025-05-05,Hero Splendor,Hyderabad,3,255000
BS125,2025-05-06,Honda Shine,Bengaluru,17,1530000
BS126,2025-05-07,Honda Shine,Mumbai,12,1080000
BS127,2025-05-08,Honda Shine,Bengaluru,12,1080000
BS128,2025-05-09,Honda Shine,Hyderabad,15,1350000
BS129,2025-05-10,Yamaha FZ,Hyderabad,10,1350000
BS130,2025-05-11,Yamaha FZ,Mumbai,17,2295000
BS131,2025-05-12,Yamaha FZ,Bengaluru,18,2430000
BS132,2025-05-13,Yamaha FZ,Delhi,4,540000
BS133,2025-05-14,Bajaj Pulsar,Mumbai,4,480000
BS134,2025-05-15,Yamaha FZ,Delhi,18,2430000
BS135,2025-05-16,Bajaj Pulsar,Hyderabad,10,1200000
BS136,2025-05-17,Honda Shine,Delhi,11,990000
BS137,2025-05-18,Yamaha FZ,Hyderabad,9,1215000
BS138,2025-05-19,TVS Apache,Mumbai,9,1260000
BS139,2025-05-20,Hero Splendor,Bengaluru,14,1190000
BS140,2025-05-21,Hero Splendor,Bengaluru,1,85000
BS141,2025-05-22,Honda Shine,Delhi,9,810000
BS142,2025-05-23,Yamaha FZ,Hyderabad,15,2025000
BS143,2025-05-24,Yamaha FZ,Hyderabad,14,1890000
BS144,2025-05-25,Hero Splendor,Mumbai,4,340000
BS145,2025-05-26,Yamaha FZ,Hyderabad,5,675000
BS146,2025-05-27,Hero Splendor,Hyderabad,12,1020000
BS147,2025-05-28,Royal Enfield Classic,Chennai,5,1050000
BS148,2025-05-29,Honda Shine,Bengaluru,2,180000
BS149,2025-05-30,Bajaj Pulsar,Bengaluru,2,240000
BS150,2025-05-31,Honda Shine,Pune,8,720000
BS151,2025-06-01,Hero Splendor,Hyderabad,12,1020000
BS152,2025-06-02,TVS Apache,Pune,20,2800000
BS153,2025-06-03,Honda Shine,Delhi,8,720000
BS154,2025-06-04,Honda Shine,Mumbai,14,1260000
BS155,2025-06-05,Honda Shine,Chennai,11,990000
BS156,2025-06-06,Yamaha FZ,Bengaluru,8,1080000
BS157,2025-06-07,Honda Shine,Chennai,4,360000
BS158,2025-06-08,Hero Splendor,Delhi,16,1360000
BS159,2025-06-09,Honda Shine,Bengaluru,15,1350000
BS160,2025-06-10,Bajaj Pulsar,Delhi,8,960000
BS161,2025-06-11,Hero Splendor,Chennai,7,595000
BS162,2025-06-12,Bajaj Pulsar,Mumbai,9,1080000
BS163,2025-06-13,Bajaj Pulsar,Pune,12,1440000
BS164,2025-06-14,Royal Enfield Classic,Pune,13,2730000
BS165,2025-06-15,Royal Enfield Classic,Mumbai,11,2310000
BS166,2025-06-16,Hero Splendor,Delhi,9,765000
BS167,2025-06-17,Royal Enfield Classic,Mumbai,9,1890000
BS168,2025-06-18,Hero Splendor,Chennai,20,1700000
BS169,2025-06-19,Bajaj Pulsar,Chennai,11,1320000
BS170,2025-06-20,Royal Enfield Classic,Mumbai,17,3570000
BS171,2025-06-21,TVS Apache,Delhi,19,2660000
BS172,2025-06-22,Bajaj Pulsar,Pune,2,240000
BS173,2025-06-23,TVS Apache,Hyderabad,1,140000
BS174,2025-06-24,Royal Enfield Classic,Bengaluru,7,1470000
BS175,2025-06-25,TVS Apache,Pune,3,420000
BS176,2025-06-26,Bajaj Pulsar,Bengaluru,20,2400000
BS177,2025-06-27,Yamaha FZ,Pune,4,540000
BS178,2025-06-28,Bajaj Pulsar,Bengaluru,17,2040000
BS179,2025-06-29,Yamaha FZ,Bengaluru,14,1890000
BS180,2025-06-30,TVS Apache,Hyderabad,10,1400000
BS181,2025-07-01,Honda Shine,Chennai,7,630000
BS182,2025-07-02,Yamaha FZ,Pune,13,1755000
BS183,2025-07-03,Yamaha FZ,Hyderabad,6,810000
BS184,2025-07-04,Royal Enfield Classic,Chennai,10,2100000
BS185,2025-07-05,Royal Enfield Classic,Bengaluru,1,210000
BS186,2025-07-06,Bajaj Pulsar,Chennai,7,840000
BS187,2025-07-07,Royal Enfield Classic,Pune,20,4200000
BS188,2025-07-08,Bajaj Pulsar,Chennai,15,1800000
BS189,2025-07-09,TVS Apache,Hyderabad,7,980000
BS190,2025-07-10,TVS Apache,Pune,6,840000
BS191,2025-07-11,Hero Splendor,Hyderabad,10,850000
BS192,2025-07-12,Yamaha FZ,Bengaluru,20,2700000
BS193,2025-07-13,Hero Splendor,Pune,8,680000
BS194,2025-07-14,Bajaj Pulsar,Delhi,8,960000
BS195,2025-07-15,Honda Shine,Mumbai,1,90000
BS196,2025-07-16,Honda Shine,Hyderabad,16,1440000
BS197,2025-07-17,Hero Splendor,Chennai,15,1275000
BS198,2025-07-18,Yamaha FZ,Delhi,19,2565000
BS199,2025-07-19,Yamaha FZ,Chennai,13,1755000
BS200,2025-07-20,TVS Apache,Delhi,8,1120000
BS201,2025-07-21,Yamaha FZ,Mumbai,1,135000
BS202,2025-07-22,TVS Apache,Delhi,8,1120000
BS203,2025-07-23,Yamaha FZ,Chennai,17,2295000
BS204,2025-07-24,Hero Splendor,Delhi,18,1530000
BS205,2025-07-25,Hero Splendor,Delhi,15,1275000
BS206,2025-07-26,TVS Apache,Hyderabad,17,2380000
BS207,2025-07-27,Royal Enfield Classic,Chennai,11,2310000
BS208,2025-07-28,Royal Enfield Classic,Chennai,17,3570000
BS209,2025-07-29,Royal Enfield Classic,Delhi,15,3150000
BS210,2025-07-30,Yamaha FZ,Chennai,16,2160000
BS211,2025-07-31,Bajaj Pulsar,Pune,8,960000
BS212,2025-08-01,Bajaj Pulsar,Chennai,17,2040000
BS213,2025-08-02,Yamaha FZ,Bengaluru,8,1080000
BS214,2025-08-03,TVS Apache,Pune,3,420000
BS215,2025-08-04,Bajaj Pulsar,Bengaluru,8,960000
BS216,2025-08-05,Bajaj Pulsar,Hyderabad,11,1320000
BS217,2025-08-06,Hero Splendor,Delhi,5,425000
BS218,2025-08-07,Honda Shine,Pune,13,1170000
BS219,2025-08-08,Honda Shine,Mumbai,7,630000
BS220,2025-08-09,TVS Apache,Bengaluru,14,1960000
BS221,2025-08-10,Royal Enfield Classic,Chennai,15,3150000
BS222,2025-08-11,Hero Splendor,Chennai,7,595000
BS223,2025-08-12,TVS Apache,Pune,19,2660000
BS224,2025-08-13,Hero Splendor,Chennai,19,1615000
BS225,2025-08-14,TVS Apache,Bengaluru,1,140000
BS226,2025-08-15,Bajaj Pulsar,Chennai,13,1560000
BS227,2025-08-16,Royal Enfield Classic,Hyderabad,18,3780000
BS228,2025-08-17,Honda Shine,Delhi,16,1440000
BS229,2025-08-18,Bajaj Pulsar,Chennai,14,1680000
BS230,2025-08-19,Hero Splendor,Bengaluru,13,1105000
BS231,2025-08-20,Yamaha FZ,Pune,13,1755000
BS232,2025-08-21,Honda Shine,Delhi,15,1350000
BS233,2025-08-22,Royal Enfield Classic,Mumbai,18,3780000
BS234,2025-08-23,TVS Apache,Hyderabad,19,2660000
BS235,2025-08-24,Yamaha FZ,Mumbai,1,135000
BS236,2025-08-25,Yamaha FZ,Delhi,14,1890000
BS237,2025-08-26,TVS Apache,Mumbai,6,840000
BS238,2025-08-27,Bajaj Pulsar,Bengaluru,13,1560000
BS239,2025-08-28,Honda Shine,Bengaluru,15,1350000
BS240,2025-08-29,Bajaj Pulsar,Bengaluru,13,1560000
BS241,2025-08-30,TVS Apache,Mumbai,9,1260000
BS242,2025-08-31,TVS Apache,Pune,1,140000
BS243,2025-09-01,Royal Enfield Classic,Bengaluru,2,420000
BS244,2025-09-02,Honda Shine,Pune,3,270000
BS245,2025-09-03,Hero Splendor,Delhi,1,85000
BS246,2025-09-04,Honda Shine,Hyderabad,1,90000
BS247,2025-09-05,Honda Shine,Delhi,8,720000
BS248,2025-09-06,TVS Apache,Hyderabad,4,560000
BS249,2025-09-07,Honda Shine,Pune,15,1350000
BS250,2025-09-08,Bajaj Pulsar,Delhi,12,1440000
BS251,2025-09-09,Royal Enfield Classic,Pune,20,4200000
BS252,2025-09-10,Yamaha FZ,Delhi,4,540000
BS253,2025-09-11,Bajaj Pulsar,Hyderabad,4,480000
BS254,2025-09-12,Hero Splendor,Hyderabad,10,850000
BS255,2025-09-13,Yamaha FZ,Chennai,13,1755000
BS256,2025-09-14,Yamaha FZ,Mumbai,7,945000
BS257,2025-09-15,Royal Enfield Classic,Mumbai,8,1680000
BS258,2025-09-16,Yamaha FZ,Pune,10,1350000
BS259,2025-09-17,Royal Enfield Classic,Hyderabad,4,840000
BS260,2025-09-18,Hero Splendor,Hyderabad,12,1020000
BS261,2025-09-19,TVS Apache,Mumbai,12,1680000
BS262,2025-09-20,Royal Enfield Classic,Mumbai,11,2310000
BS263,2025-09-21,TVS Apache,Mumbai,16,2240000
BS264,2025-09-22,TVS Apache,Pune,12,1680000
BS265,2025-09-23,TVS Apache,Chennai,5,700000
BS266,2025-09-24,Honda Shine,Pune,17,1530000
BS267,2025-09-25,Bajaj Pulsar,Hyderabad,20,2400000
BS268,2025-09-26,TVS Apache,Chennai,15,2100000
BS269,2025-09-27,Yamaha FZ,Bengaluru,19,2565000
BS270,2025-09-28,Bajaj Pulsar,Mumbai,8,960000
BS271,2025-09-29,Bajaj Pulsar,Delhi,15,1800000
BS272,2025-09-30,TVS Apache,Hyderabad,19,2660000
BS273,2025-10-01,Yamaha FZ,Bengaluru,13,1755000
BS274,2025-10-02,Hero Splendor,Bengaluru,16,1360000
BS275,2025-10-03,Honda Shine,Delhi,16,1440000
BS276,2025-10-04,Bajaj Pulsar,Bengaluru,9,1080000
BS277,2025-10-05,Bajaj Pulsar,Pune,20,2400000
BS278,2025-10-06,Bajaj Pulsar,Mumbai,18,2160000
BS279,2025-10-07,Royal Enfield Classic,Mumbai,7,1470000
BS280,2025-10-08,Honda Shine,Chennai,14,1260000
BS281,2025-10-09,Royal Enfield Classic,Pune,8,1680000
BS282,2025-10-10,TVS Apache,Chennai,16,2240000
BS283,2025-10-11,Hero Splendor,Bengaluru,3,255000
BS284,2025-10-12,Honda Shine,Pune,13,1170000
BS285,2025-10-13,Honda Shine,Pune,10,900000
BS286,2025-10-14,Royal Enfield Classic,Chennai,12,2520000
BS287,2025-10-15,Royal Enfield Classic,Bengaluru,17,3570000
BS288,2025-10-16,TVS Apache,Bengaluru,18,2520000
BS289,2025-10-17,Bajaj Pulsar,Bengaluru,15,1800000
BS290,2025-10-18,Bajaj Pulsar,Delhi,9,1080000
BS291,2025-10-19,Hero Splendor,Bengaluru,7,595000
BS292,2025-10-20,Hero Splendor,Pune,18,1530000
BS293,2025-10-21,Honda Shine,Delhi,7,630000
BS294,2025-10-22,Yamaha FZ,Bengaluru,16,2160000
BS295,2025-10-23,Yamaha FZ,Hyderabad,19,2565000
BS296,2025-10-24,Royal Enfield Classic,Mumbai,10,2100000
BS297,2025-10-25,Honda Shine,Delhi,10,900000
BS298,2025-10-26,Bajaj Pulsar,Bengaluru,6,720000
BS299,2025-10-27,Hero Splendor,Delhi,18,1530000
BS300,2025-10-28,Bajaj Pulsar,Mumbai,2,240000
